data,Val0,Val1,Val2,ttype,cellnames,gmm_cluster
Ephys,-0.022362088,-0.009711269,0.006907811,Pvalb,SM-GE8X4_S097_E1-50,2
Ephys,0.009385558,-0.00319015,0.01492774,Vip,SM-GE8X4_S107_E1-50,1
Ephys,-0.019767695,-0.008829469,0.005668572,Pvalb,SM-GE8X4_S118_E1-50,2
Ephys,0.006261888,0.006165032,0.004660117,Vip,SM-GE8X4_S108_E1-50,5
Ephys,0.013376291,-0.00274202,0.019363038,Vip,SM-GE8X4_S098_E1-50,1
Ephys,0.012933592,-0.003089155,0.018532415,Vip,SM-GE92A_S090_E1-50,1
Ephys,0.011359,-0.025576003,-0.028109431,Lamp5,SM-GE8X4_S119_E1-50,4
Ephys,0.011214926,-0.025060958,-0.026937377,Lamp5,SM-GE8X4_S120_E1-50,4
Ephys,-0.012475695,-0.002497154,0.000720954,Pvalb,SM-GE8X4_S127_E1-50,5
Ephys,-0.017017672,-0.008919211,0.004723071,Pvalb,SM-GE8X4_S122_E1-50,5
Ephys,-0.021788943,-0.009758062,0.006677891,Pvalb,SM-GE8X4_S129_E1-50,2
Ephys,-0.023385947,-0.011350343,0.007693573,Pvalb,SM-GE8X4_S133_E1-50,2
Ephys,0.001658435,0.014806394,-0.00541968,Sst,SM-GE8X4_S134_E1-50,3
Ephys,-0.023613581,-0.011297161,0.007912193,Pvalb,SM-GE8X4_S148_E1-50,2
Ephys,-0.022082202,-0.010217781,0.006990954,Pvalb,SM-GE8X4_S140_E1-50,2
Ephys,-0.020023412,-0.009214731,0.005682531,Pvalb,SM-GE8X4_S141_E1-50,2
Ephys,-0.0223947,-0.009896594,0.006872816,Pvalb,SM-GE8X4_S142_E1-50,2
Ephys,-0.023343722,-0.010520998,0.007492086,Pvalb,SM-GE8X4_S143_E1-50,2
Ephys,-0.021909493,-0.009699273,0.006751335,Pvalb,SM-GE8X4_S160_E1-50,2
Ephys,-0.021071597,-0.009532205,0.006487501,Pvalb,SM-GE8X4_S161_E1-50,2
Ephys,-0.023713287,-0.010857811,0.007939299,Pvalb,SM-GE8X4_S163_E1-50,2
Ephys,-0.018299896,-0.005343873,0.003915723,Pvalb,SM-GE8X4_S164_E1-50,5
Ephys,0.012263128,-0.016141258,-0.007385602,Lamp5,SM-GE8X7_S128_E1-50,4
Ephys,0.001142019,0.014746578,-0.006377144,Sst,SM-GE8X4_S188_E1-50,3
Ephys,0.010846533,-0.023591233,-0.024387817,Lamp5,SM-GE8X7_S129_E1-50,4
Ephys,0.00112586,0.011328455,-0.004835424,Sst,SM-GE8X4_S189_E1-50,3
Ephys,-0.000414684,0.014403101,-0.007385329,Sst,SM-GE8X4_S186_E1-50,3
Ephys,0.007187742,-0.016200606,-0.009545902,Lamp5,SM-GE8X7_S130_E1-50,5
Ephys,-0.000853784,0.015216731,-0.008738435,Sst,SM-GE8X4_S187_E1-50,3
Ephys,-0.002103192,0.008813044,-0.005878963,Sst,SM-GE8X7_S132_E1-50,3
Ephys,0.013458447,-0.003430245,0.01793525,Vip,SM-GE8X4_S190_E1-50,1
Ephys,0.004731693,0.004621471,0.000920134,Vip,SM-GE8X4_S191_E1-50,5
Ephys,0.01352476,-0.004929025,0.01788045,Vip,SM-GE8X7_S124_E1-50,1
Ephys,0.013380158,-0.004067045,0.018417986,Vip,SM-GE8X7_S125_E1-50,1
Ephys,0.013492399,-0.003690262,0.018648897,Vip,SM-GE8X7_S134_E1-50,1
Ephys,0.000830253,0.001796911,0.000494889,Vip,SM-GE8X7_S135_E1-50,5
Ephys,0.009645113,-0.010413078,-0.003112399,Vip,SM-GE8X7_S136_E1-50,5
Ephys,0.014065992,-0.004051927,0.020215382,Vip,SM-GE8X7_S137_E1-50,1
Ephys,0.000364086,0.014803163,-0.006533093,Sst,SM-GE8X7_S160_E1-50,3
Ephys,0.001154817,0.01407702,-0.005917455,Sst,SM-GE8X7_S151_E1-50,3
Ephys,0.003279666,0.014968075,-0.003213405,Sst,SM-GE8X7_S169_E1-50,3
Ephys,0.002524261,0.014819003,-0.003017927,Sst,SM-GE8WX_S032_E1-50,3
Ephys,0.000419176,0.015195995,-0.006166962,Sst,SM-GE8X7_S189_E1-50,3
Ephys,0.003610605,0.012060645,-0.002124533,Sst,SM-GE8WX_S038_E1-50,3
Ephys,0.001996942,0.015191005,-0.00521576,Sst,SM-GE8WX_S039_E1-50,3
Ephys,0.003033902,0.014765381,-0.003229187,Sst,SM-GE8WX_S040_E1-50,3
Ephys,-0.023605273,-0.010613521,0.007846468,Pvalb,SM-GE8WX_S042_E1-50,2
Ephys,-0.001512333,0.008689272,-0.003067714,Sst,SM-GE8WX_S029_E1-50,3
Ephys,0.012210159,-0.026529353,-0.02961917,Lamp5,SM-GE8WX_S036_E1-50,4
Ephys,0.010715984,-0.023095066,-0.024486359,Lamp5,SM-GE8X7_S186_E1-50,4
Ephys,0.011588976,-0.024989551,-0.027395554,Lamp5,SM-GE8WX_S030_E1-50,4
Ephys,0.004131399,-0.017251088,-0.013484958,Lamp5,SM-GE8X7_S187_E1-50,5
Ephys,-0.001300754,0.011224385,-0.006518867,Sst,SM-GE8WX_S046_E1-50,3
Ephys,0.010172629,-0.023518547,-0.025384035,Lamp5,SM-GE8WX_S050_E1-50,4
Ephys,0.007755051,-0.017869118,-0.016667078,Lamp5,SM-GE8WX_S060_E1-50,4
Ephys,0.01346484,-0.004156893,0.015940135,Sncg,SM-GE8WX_S051_E1-50,1
Ephys,0.01093151,-0.01507094,-0.008484948,Lamp5,SM-GE8WX_S065_E1-50,4
Ephys,-0.000336164,0.012859606,-0.006468085,Sst,SM-GE8WX_S047_E1-50,3
Ephys,-0.002159433,0.013932209,-0.008334435,Sst,SM-GE8WX_S053_E1-50,3
Ephys,0.001133439,0.011427836,-0.005266341,Sst,SM-GE8WX_S048_E1-50,3
Ephys,-0.001956137,0.0079534,-0.00694546,Sst,SM-GE8WX_S062_E1-50,3
Ephys,-0.001177626,0.013370925,-0.007326748,Sst,SM-GE8WX_S054_E1-50,3
