"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Kcnj3",2.606583961274e-99,0.49275186911123,0.996,0.876,3.39377231757875e-96,"Cluster 2","Kcnj3"
"Kcnma1",2.78069973767537e-98,0.386677864707512,1,0.984,3.62047105845334e-95,"Cluster 2","Kcnma1"
"Arl15",3.17349268355961e-97,0.459079203581394,0.991,0.896,4.13188747399461e-94,"Cluster 2","Arl15"
"Acsl3",3.40067485040761e-97,0.546518959392942,0.984,0.819,4.4276786552307e-94,"Cluster 2","Acsl3"
"Fras1",2.70917577169522e-93,0.971900312987235,0.639,0.282,3.52734685474717e-90,"Cluster 2","Fras1"
"Gria4",1.35215002095972e-92,0.34829321070737,0.996,0.979,1.76049932728956e-89,"Cluster 2","Gria4"
"Ppip5k2",1.45983454271015e-92,0.552609484782524,0.966,0.767,1.90070457460862e-89,"Cluster 2","Ppip5k2"
"Luzp1",2.71925544918975e-91,0.434994107387414,0.995,0.915,3.54047059484506e-88,"Cluster 2","Luzp1"
"Cplx1",2.82852362631178e-90,0.391724339943833,1,0.949,3.68273776145794e-87,"Cluster 2","Cplx1"
"Gabrg3",2.31911369591015e-89,0.46558253489907,0.998,0.907,3.01948603207502e-86,"Cluster 2","Gabrg3"
"Fmn1",1.84408518117671e-88,0.558469225202205,0.986,0.831,2.40099890589208e-85,"Cluster 2","Fmn1"
"Slc25a3",2.0568451108014e-87,0.257394700319188,1,0.989,2.67801233426343e-84,"Cluster 2","Slc25a3"
"Pdzrn3",1.76389135220971e-84,0.707627124104666,0.861,0.574,2.29658654057705e-81,"Cluster 2","Pdzrn3"
"Sox6",1.79179194114169e-84,0.610515465833938,0.989,0.668,2.33291310736648e-81,"Cluster 2","Sox6"
"Sorbs2",6.34597701561276e-84,0.413176712045978,0.996,0.897,8.26246207432781e-81,"Cluster 2","Sorbs2"
"Ntn4",1.28045580653605e-82,0.653876764132075,0.744,0.349,1.66715346010993e-79,"Cluster 2","Ntn4"
"Gabra11",1.91491665425446e-82,0.463241232381931,0.996,0.848,2.4932214838393e-79,"Cluster 2","Gabra1"
"Scn8a",3.87602274286277e-82,0.322105002941302,0.998,0.968,5.04658161120733e-79,"Cluster 2","Scn8a"
"Osbpl1a",6.49371625554921e-82,0.405741400821171,0.989,0.881,8.45481856472508e-79,"Cluster 2","Osbpl1a"
"Rerg",9.06033759691482e-82,0.621166607395702,0.755,0.32,1.17965595511831e-78,"Cluster 2","Rerg"
"Ank1",1.07249685016889e-81,0.462489904622241,0.991,0.861,1.3963908989199e-78,"Cluster 2","Ank1"
"Cux1",1.0994995028786e-80,0.4592409480707,0.982,0.839,1.43154835274794e-77,"Cluster 2","Cux1"
"Usp25",1.10101596321413e-80,0.516053406854692,0.964,0.795,1.4335227841048e-77,"Cluster 2","Usp25"
"Clec16a",1.39778428776251e-80,0.422064886178797,0.998,0.904,1.81991514266678e-77,"Cluster 2","Clec16a"
"Dlgap1",3.61796376772493e-80,0.282784642809055,1,0.998,4.71058882557786e-77,"Cluster 2","Dlgap1"
"Dgkh",4.20187823739558e-80,0.442193625267097,0.988,0.868,5.47084546508904e-77,"Cluster 2","Dgkh"
"Strbp",6.34550185194215e-80,0.274982737852085,1,0.985,8.26184341122868e-77,"Cluster 2","Strbp"
"Rora",4.00409319257401e-77,0.404418851610145,0.998,0.968,5.21332933673136e-74,"Cluster 2","Rora"
"Prickle2",1.78651246235462e-76,0.394752403353247,0.996,0.895,2.32603922598572e-73,"Cluster 2","Prickle2"
"Sytl2",8.55961806953634e-76,0.610282633546928,0.865,0.528,1.11446227265363e-72,"Cluster 2","Sytl2"
"Tenm1",1.69278835234441e-75,0.4546501072772,0.986,0.894,2.20401043475242e-72,"Cluster 2","Tenm1"
"Ldhb",4.60665493621747e-75,0.283438442127743,1,0.98,5.99786472695515e-72,"Cluster 2","Ldhb"
"Rbms3",1.05671479209855e-74,0.329228852195712,0.998,0.975,1.37584265931232e-71,"Cluster 2","Rbms3"
"Camta1",1.09991311191602e-74,0.283739022854458,1,0.984,1.43208687171466e-71,"Cluster 2","Camta1"
"Kcnab1",2.53547500456158e-74,0.448214943231895,0.979,0.828,3.30118845593917e-71,"Cluster 2","Kcnab1"
"Sparcl1",2.4768533954801e-73,0.318664331221862,0.998,0.972,3.22486312091509e-70,"Cluster 2","Sparcl1"
"Man1a2",2.58135532466621e-73,0.373604346115841,0.995,0.915,3.3609246327154e-70,"Cluster 2","Man1a2"
"Arhgap21",6.67229319581491e-72,0.303927712244513,1,0.998,8.68732574095101e-69,"Cluster 2","Arhgap21"
"Cacna1a",9.513416959817e-72,0.350281280711151,0.998,0.94,1.23864688816817e-68,"Cluster 2","Cacna1a"
"Dlgap2",1.77895771332047e-71,0.323933091140451,0.998,0.977,2.31620294274325e-68,"Cluster 2","Dlgap2"
"Magi2",2.47766507973744e-71,0.278470159334431,1,0.993,3.22591993381815e-68,"Cluster 2","Magi2"
"Trpm2",1.28892919210423e-70,0.542636205733079,0.877,0.581,1.67818580811971e-67,"Cluster 2","Trpm2"
"Fam134b",2.76936235620735e-70,0.459288814524221,0.968,0.797,3.60570978778197e-67,"Cluster 2","Fam134b"
"Rbfox1",4.65866061647159e-70,0.3209303304006,1,0.989,6.06557612264602e-67,"Cluster 2","Rbfox1"
"Adrbk2",9.65123263884715e-70,0.395626468381415,0.991,0.864,1.2565904895779e-66,"Cluster 2","Adrbk2"
"Tox3",8.45746633516291e-69,0.511287180991069,0.956,0.632,1.10116211683821e-65,"Cluster 2","Tox3"
"Trio",1.17592379077292e-68,0.312011570206837,0.996,0.948,1.53105277558634e-65,"Cluster 2","Trio"
"Dok5",3.08899979998919e-68,0.503389949465583,0.931,0.644,4.02187773958593e-65,"Cluster 2","Dok5"
"Col11a1",2.09607733922213e-67,0.507559615308426,0.748,0.358,2.72909269566722e-64,"Cluster 2","Col11a1"
"Got1",2.75339258740405e-67,0.320587724746179,0.998,0.935,3.58491714880007e-64,"Cluster 2","Got1"
"Arid5b",2.92178775249314e-67,0.452396670908814,0.982,0.793,3.80416765374607e-64,"Cluster 2","Arid5b"
"Itsn1",4.09973279179838e-67,0.320014023644818,0.998,0.95,5.33785209492149e-64,"Cluster 2","Itsn1"
"Prickle1",4.45835808621304e-66,0.362838646586116,0.995,0.923,5.80478222824938e-63,"Cluster 2","Prickle1"
"Gabrb2",7.46789966028442e-65,0.369978760878036,0.996,0.891,9.72320535769032e-62,"Cluster 2","Gabrb2"
"Nav3",1.2245409078986e-64,0.334508808825965,0.998,0.933,1.59435226208398e-61,"Cluster 2","Nav3"
"Lin7a",2.03453091674902e-64,0.561000352505657,0.837,0.5,2.64895925360722e-61,"Cluster 2","Lin7a"
"St8sia1",1.65805511978337e-63,0.507288799034995,0.901,0.623,2.15878776595795e-60,"Cluster 2","St8sia1"
"Hspa12a",3.64834574886769e-62,0.456120374587755,0.934,0.707,4.75014616502573e-59,"Cluster 2","Hspa12a"
"Dclk2",1.02798461179258e-60,0.361318756363411,0.989,0.889,1.33843596455394e-57,"Cluster 2","Dclk2"
"Atp2a2",1.16618388527709e-60,0.270767219836511,1,0.973,1.51837141863077e-57,"Cluster 2","Atp2a2"
"Scn1b",1.19545086040743e-60,0.309307150586822,0.993,0.93,1.55647702025048e-57,"Cluster 2","Scn1b"
"Osbpl3",1.73738822546858e-60,0.35487951159144,0.996,0.891,2.26207946956009e-57,"Cluster 2","Osbpl3"
"Sh3rf3",8.19088953535914e-60,0.34960385472465,0.989,0.956,1.06645381750376e-56,"Cluster 2","Sh3rf3"
"Klf12",2.41219662168439e-59,0.310561501778167,0.998,0.943,3.14068000143308e-56,"Cluster 2","Klf12"
"Lrrtm3",4.91872123047698e-59,0.449185203694105,0.943,0.675,6.40417504208103e-56,"Cluster 2","Lrrtm3"
"Arhgef3",5.44034814278533e-59,0.452408394215219,0.957,0.759,7.0833332819065e-56,"Cluster 2","Arhgef3"
"Mpp6",3.67591799715987e-58,0.329908103277153,0.98,0.889,4.78604523230215e-55,"Cluster 2","Mpp6"
"Ccdc136",6.28169641651755e-58,0.30134160369257,0.993,0.924,8.17876873430585e-55,"Cluster 2","Ccdc136"
"Lsamp",1.05227330035446e-57,0.295183822794757,1,0.987,1.37005983706151e-54,"Cluster 2","Lsamp"
"Tenm2",1.31040281979001e-57,0.308086172660442,0.998,0.981,1.7061444713666e-54,"Cluster 2","Tenm2"
"Luzp2",2.07793161959064e-57,0.474742099198952,0.929,0.852,2.70546696870701e-54,"Cluster 2","Luzp2"
"Slit3",3.81471582986741e-57,0.742924884653568,0.799,0.597,4.96676001048737e-54,"Cluster 2","Slit3"
"Clip4",1.26601826508721e-56,0.404813545079221,0.956,0.8,1.64835578114354e-53,"Cluster 2","Clip4"
"Setbp1",1.27481696560296e-56,0.312898090013087,0.986,0.941,1.65981168921505e-53,"Cluster 2","Setbp1"
"Cabp1",9.56687446232178e-56,0.346332189477779,0.979,0.853,1.2456070549943e-52,"Cluster 2","Cabp1"
"Wbscr171",7.41427746369319e-55,0.465625560147744,0.945,0.816,9.65338925772854e-52,"Cluster 2","Wbscr17"
"Exoc4",3.28718270699527e-54,0.290780029259056,0.993,0.96,4.27991188450784e-51,"Cluster 2","Exoc4"
"Xylt1",3.41184106037496e-53,0.478984755293545,0.876,0.573,4.4422170606082e-50,"Cluster 2","Xylt1"
"Wasf3",3.44123780388507e-53,0.365477140936031,0.973,0.818,4.48049162065836e-50,"Cluster 2","Wasf3"
"Adcy8",4.50945204452033e-53,0.378938425665095,0.991,0.818,5.87130656196547e-50,"Cluster 2","Adcy8"
"Ndst3",3.43175955969642e-52,0.80279278513107,0.673,0.435,4.46815094672474e-49,"Cluster 2","Ndst3"
"Fhod3",5.32782848132667e-52,0.448433740965513,0.915,0.703,6.93683268268733e-49,"Cluster 2","Fhod3"
"Golim4",5.44262804921992e-52,0.517868375883594,0.774,0.474,7.08630172008433e-49,"Cluster 2","Golim4"
"Parm1",6.70687957426963e-52,0.564754487733203,0.737,0.423,8.73235720569906e-49,"Cluster 2","Parm1"
"Elavl2",2.22000949875873e-51,0.319419891515754,0.998,0.915,2.89045236738386e-48,"Cluster 2","Elavl2"
"Ralgapa2",2.30017760751165e-51,0.322096794901018,0.995,0.899,2.99483124498016e-48,"Cluster 2","Ralgapa2"
"Ppm1l",1.59168483069756e-50,0.344624474915011,0.979,0.855,2.07237364956822e-47,"Cluster 2","Ppm1l"
"Dip2a",3.90058362258555e-50,0.38713890977673,0.961,0.822,5.07855987660638e-47,"Cluster 2","Dip2a"
"Inpp4b",1.35188197577022e-49,0.598195249636438,0.813,0.557,1.76015033245282e-46,"Cluster 2","Inpp4b"
"Rps6ka2",1.38521709308561e-49,0.363669801687986,0.968,0.832,1.80355265519746e-46,"Cluster 2","Rps6ka2"
"Wls",1.73957038920912e-49,0.471370793858307,0.803,0.478,2.26492064675027e-46,"Cluster 2","Wls"
"Prkag2",1.80711278854472e-49,0.384710322563175,0.964,0.761,2.35286085068523e-46,"Cluster 2","Prkag2"
"Trerf1",3.1882107476914e-49,0.332944052642512,0.984,0.89,4.1510503934942e-46,"Cluster 2","Trerf1"
"Far2",4.35151419431554e-49,0.38930034497575,0.964,0.8,5.66567148099884e-46,"Cluster 2","Far2"
"Nebl",4.71258083536802e-49,0.271703414147285,1,0.952,6.13578024764916e-46,"Cluster 2","Nebl"
"Sgk1",5.97366797649459e-49,0.358650932032772,0.966,0.836,7.77771570539596e-46,"Cluster 2","Sgk1"
"Arhgap20",6.51595689213307e-49,0.396808628549557,0.936,0.742,8.48377587355726e-46,"Cluster 2","Arhgap20"
"Ppfibp1",4.43676287977111e-48,0.520732988687911,0.522,0.236,5.77666526946199e-45,"Cluster 2","Ppfibp1"
"Gabrg21",6.85088059054845e-48,0.325862099165517,0.984,0.883,8.91984652889408e-45,"Cluster 2","Gabrg2"
"Tenm4",1.18733375801571e-47,0.305259081141318,0.996,0.93,1.54590855293646e-44,"Cluster 2","Tenm4"
"Atp8a2",1.53897915702966e-47,0.312391072428388,0.993,0.918,2.00375086245262e-44,"Cluster 2","Atp8a2"
"Tfdp2",6.18197996104338e-47,0.412702443612585,0.909,0.706,8.04893790927848e-44,"Cluster 2","Tfdp2"
"Tle4",1.85555141701793e-46,0.382190805433778,0.979,0.892,2.41592794495734e-43,"Cluster 2","Tle4"
"Adra1a",1.95908688122096e-46,0.351474570853908,0.973,0.718,2.55073111934969e-43,"Cluster 2","Adra1a"
"Prr16",2.01730382356344e-46,0.461316227512985,0.712,0.401,2.6265295782796e-43,"Cluster 2","Prr16"
"Clvs1",2.52183626106571e-46,0.315857355899576,0.993,0.876,3.28343081190756e-43,"Cluster 2","Clvs1"
"Lpcat4",3.89830230797159e-46,0.381608323817,0.906,0.687,5.07558960497901e-43,"Cluster 2","Lpcat4"
"Ndfip2",1.12990431460592e-45,0.283771010130196,0.996,0.899,1.47113541761691e-42,"Cluster 2","Ndfip2"
"Cacng2",1.38946277955863e-45,0.305790269968547,0.995,0.931,1.80908053898534e-42,"Cluster 2","Cacng2"
"Camk2g",3.23332745134776e-45,0.306384719067363,0.979,0.896,4.20979234165479e-42,"Cluster 2","Camk2g"
"Glcci1",7.65062583394352e-45,0.438419637042685,0.876,0.666,9.96111483579447e-42,"Cluster 2","Glcci1"
"Slco3a1",8.89230630191472e-45,0.352181769324988,0.975,0.815,1.1577782805093e-41,"Cluster 2","Slco3a1"
"Rnf150",1.28912571243831e-44,0.378132682608641,0.954,0.782,1.67844167759469e-41,"Cluster 2","Rnf150"
"Opcml",2.26924020106406e-44,0.321345111913551,0.998,0.96,2.95455074178541e-41,"Cluster 2","Opcml"
"Fut9",2.51659639890738e-44,0.340180131924824,0.979,0.84,3.27660851137741e-41,"Cluster 2","Fut9"
"Tshz3",1.07227168996065e-43,0.37546837074191,0.957,0.689,1.39609774032877e-40,"Cluster 2","Tshz3"
"Slc6a17",1.07374715443991e-43,0.264322660911316,0.991,0.929,1.39801879508076e-40,"Cluster 2","Slc6a17"
"Dgkz",3.62188666100845e-43,0.305887931110753,0.975,0.841,4.715696432633e-40,"Cluster 2","Dgkz"
"Alcam1",1.62638465571232e-42,0.33584660329643,0.977,0.755,2.11755282173743e-39,"Cluster 2","Alcam"
"Kctd8",1.74572119741845e-42,0.381166363871082,0.952,0.626,2.27292899903883e-39,"Cluster 2","Kctd8"
"Zfyve28",2.44672455758019e-42,0.3696530859258,0.938,0.739,3.18563537396941e-39,"Cluster 2","Zfyve28"
"Rnf157",2.81677928132662e-42,0.258787197254025,0.995,0.951,3.66744662428726e-39,"Cluster 2","Rnf157"
"Adcy1",4.04147080684782e-42,0.307649434778259,0.986,0.84,5.26199499051587e-39,"Cluster 2","Adcy1"
"Grm5",4.83186091204303e-42,0.261259970002067,0.998,0.96,6.29108290748002e-39,"Cluster 2","Grm5"
"Srrm3",1.40704225434111e-41,0.269431502380596,0.988,0.904,1.83196901515213e-38,"Cluster 2","Srrm3"
"Nxph2",2.55876141930681e-41,0.4959621749229,0.378,0.147,3.33150736793747e-38,"Cluster 2","Nxph2"
"Kcnq3",4.34923771744787e-40,0.29939627903298,0.995,0.891,5.66270750811712e-37,"Cluster 2","Kcnq3"
"Slc4a8",5.59110515910898e-40,0.322772377420629,0.947,0.8,7.27961891715989e-37,"Cluster 2","Slc4a8"
"Il1rapl2",1.04188987047281e-39,1.2080567603575,0.79,0.666,1.3565406113556e-36,"Cluster 2","Il1rapl2"
"Klhl5",1.37025535404275e-39,0.379750224419692,0.892,0.657,1.78407247096366e-36,"Cluster 2","Klhl5"
"Col16a1",1.61878536653355e-39,0.54792296717285,0.307,0.109,2.10765854722669e-36,"Cluster 2","Col16a1"
"Wwp1",3.19057368757391e-39,0.310321228244137,0.964,0.822,4.15412694122123e-36,"Cluster 2","Wwp1"
"Pcdh9",2.20474470859333e-38,0.295392703791403,0.998,0.983,2.87057761058851e-35,"Cluster 2","Pcdh9"
"Ano41",3.50613906481475e-38,0.322163019667439,0.98,0.758,4.56499306238881e-35,"Cluster 2","Ano4"
"Dock9",3.5974616995644e-38,0.302981229237415,0.982,0.861,4.68389513283284e-35,"Cluster 2","Dock9"
"Cap2",1.56892821971013e-37,0.316593336778801,0.977,0.825,2.0427445420626e-34,"Cluster 2","Cap2"
"Ttll11",1.70107593451236e-37,0.288423533788293,0.986,0.889,2.21480086673509e-34,"Cluster 2","Ttll11"
"Vps13d",4.30672010889327e-37,0.291535027301339,0.982,0.897,5.60734958177904e-34,"Cluster 2","Vps13d"
"Ptprm",4.29531141203655e-36,0.315142271911212,0.995,0.822,5.59249545847159e-33,"Cluster 2","Ptprm"
"Galnt181",7.95231421277337e-36,0.315196349096074,0.853,0.54,1.03539131050309e-32,"Cluster 2","Galnt18"
"Optn",7.7328574208496e-35,0.374258607849991,0.84,0.621,1.00681803619462e-31,"Cluster 2","Optn"
"Clstn2",7.86695320202364e-35,0.301343936524832,0.979,0.852,1.02427730690348e-31,"Cluster 2","Clstn2"
"Cntn5",1.03065377049312e-34,0.393232756609831,0.966,0.938,1.34191120918205e-31,"Cluster 2","Cntn5"
"Col19a1",1.44727465290661e-34,0.315602107580972,0.979,0.823,1.88435159808441e-31,"Cluster 2","Col19a1"
"Galnt13",1.68600000424973e-34,0.319124718024555,0.97,0.846,2.19517200553315e-31,"Cluster 2","Galnt13"
"Unc5d",2.15224664849018e-34,0.318721600817133,0.957,0.705,2.80222513633421e-31,"Cluster 2","Unc5d"
"Sclt1",1.5287285019607e-33,0.28158757229249,0.966,0.849,1.99040450955284e-30,"Cluster 2","Sclt1"
"Grm3",2.43355125779196e-33,0.344379171728467,0.854,0.64,3.16848373764513e-30,"Cluster 2","Grm3"
"Lmo3",7.39044817252916e-33,0.4569168194486,0.71,0.473,9.62236352063297e-30,"Cluster 2","Lmo3"
"Rap1gap",8.11253926001946e-33,0.25653379495652,0.977,0.894,1.05625261165453e-29,"Cluster 2","Rap1gap"
"Abcc8",1.10637275170757e-32,0.406028701026107,0.652,0.399,1.44049732272325e-29,"Cluster 2","Abcc8"
"Dach1",1.74346378112977e-32,0.591418757832557,0.51,0.303,2.26998984303095e-29,"Cluster 2","Dach1"
"Syt7",1.98938330285789e-32,0.268852832152815,0.98,0.863,2.59017706032097e-29,"Cluster 2","Syt7"
"Bach1",2.72359763680483e-32,0.345242278829266,0.769,0.507,3.54612412311989e-29,"Cluster 2","Bach1"
"Prmt8",4.34905512813735e-32,0.32624467202051,0.817,0.542,5.66246977683483e-29,"Cluster 2","Prmt8"
"Ntng1",3.49414604895647e-31,0.808889971812349,0.542,0.354,4.54937815574132e-28,"Cluster 2","Ntng1"
"Gnptab",1.55825119570701e-30,0.304460987959821,0.911,0.726,2.02884305681053e-27,"Cluster 2","Gnptab"
"Mgat5",2.65312074204042e-30,0.311734424061441,0.915,0.726,3.45436320613663e-27,"Cluster 2","Mgat5"
"Kcnt1",4.35284640005736e-30,0.303356750679627,0.947,0.783,5.66740601287468e-27,"Cluster 2","Kcnt1"
"Tmtc1",1.41070648346711e-29,0.36374542804533,0.869,0.733,1.83673984147417e-26,"Cluster 2","Tmtc1"
"Eepd1",2.56673726771325e-29,0.297766155713748,0.874,0.624,3.34189192256265e-26,"Cluster 2","Eepd1"
"Taok3",4.14150998672057e-29,0.266510851996537,0.972,0.86,5.39224600271019e-26,"Cluster 2","Taok3"
"Bdp1",5.74701279043998e-29,0.264615510001438,0.973,0.889,7.48261065315285e-26,"Cluster 2","Bdp1"
"Pkd1",6.6205756494927e-29,0.284151454668031,0.986,0.857,8.61998949563949e-26,"Cluster 2","Pkd1"
"Cux2",7.99663654937306e-29,0.310542206108224,0.913,0.73,1.04116207872837e-25,"Cluster 2","Cux2"
"Mmp16",2.37989810560549e-28,0.250569488637213,0.995,0.883,3.09862733349835e-25,"Cluster 2","Mmp16"
"Mark1",3.01795378553605e-28,0.254397014842573,0.964,0.848,3.92937582876793e-25,"Cluster 2","Mark1"
"Ppm1k",4.76142170715819e-28,0.332724823590618,0.766,0.541,6.19937106271997e-25,"Cluster 2","Ppm1k"
"Mafb",4.85485228847871e-28,0.310487406496958,0.849,0.579,6.32101767959928e-25,"Cluster 2","Mafb"
"Sirpa",4.39324189197006e-27,0.251138456749917,0.975,0.85,5.72000094334502e-24,"Cluster 2","Sirpa"
"Map3k5",7.20725208115838e-27,0.298482543828852,0.895,0.707,9.38384220966822e-24,"Cluster 2","Map3k5"
"Cdc5l",1.31574411285886e-26,0.279414912424538,0.901,0.733,1.71309883494223e-23,"Cluster 2","Cdc5l"
"Npas2",2.49136641306029e-26,0.323448402134156,0.821,0.614,3.2437590698045e-23,"Cluster 2","Npas2"
"Git2",3.41592252695994e-26,0.257512399908854,0.956,0.809,4.44753113010185e-23,"Cluster 2","Git2"
"Myo16",4.15118447502579e-26,0.257146233303851,0.973,0.836,5.40484218648358e-23,"Cluster 2","Myo16"
"Nudt4",6.58561847771569e-26,0.306024382166133,0.895,0.719,8.57447525798583e-23,"Cluster 2","Nudt4"
"Bcl11b",1.28659084298476e-24,0.257964549159005,0.854,0.6,1.67514127756616e-21,"Cluster 2","Bcl11b"
"Rgs4",1.52770359160044e-24,0.366681352775235,0.78,0.607,1.98907007626377e-21,"Cluster 2","Rgs4"
"Plch1",1.68448023349574e-24,0.571223847368303,0.611,0.46,2.19319326401145e-21,"Cluster 2","Plch1"
"Zmat41",3.79343134320277e-24,0.27040426996828,0.94,0.716,4.93904760885e-21,"Cluster 2","Zmat4"
"Cntn61",2.2881401012987e-23,0.255500732470447,0.972,0.891,2.97915841189091e-20,"Cluster 2","Cntn6"
"Gucy1b3",6.47912533148942e-23,0.277270172886514,0.888,0.702,8.43582118159922e-20,"Cluster 2","Gucy1b3"
"Nxph1",2.72134103635791e-22,0.311411674071127,1,0.763,3.543186029338e-19,"Cluster 2","Nxph1"
"Myrip",1.20471594603895e-21,0.264087880881971,0.92,0.74,1.56854016174271e-18,"Cluster 2","Myrip"
"St6galnac5",2.20517701577543e-21,0.251045419069136,0.741,0.498,2.87114047453962e-18,"Cluster 2","St6galnac5"
"Rasgrp1",2.89756407083136e-20,0.260256658417243,0.75,0.533,3.77262842022243e-17,"Cluster 2","Rasgrp1"
"Cdc14b",5.38248572838666e-20,0.252258290485335,0.92,0.802,7.00799641835943e-17,"Cluster 2","Cdc14b"
"Chst11",3.85691255028337e-17,0.259998005475025,0.639,0.451,5.02170014046894e-14,"Cluster 2","Chst11"
"Wif1",2.87896881249639e-14,0.417734275658786,0.734,0.657,3.7484173938703e-11,"Cluster 2","Wif1"
"Chrm2",4.85011324766472e-10,0.304405523772922,0.428,0.309,6.31484744845946e-07,"Cluster 2","Chrm2"
"Ryr1",9.36622983616041e-06,0.300358550356981,0.265,0.195,0.0121948312466808,"Cluster 2","Ryr1"
"Sst",0,2.08931638221707,0.999,0.195,0,"Cluster 3","Sst"
"Grin3a",0,1.36958209463447,0.987,0.48,0,"Cluster 3","Grin3a"
"Grik3",0,1.19445067315144,0.988,0.701,0,"Cluster 3","Grik3"
"Trhde",0,1.1499887109453,0.967,0.608,0,"Cluster 3","Trhde"
"Stxbp6",2.72023468937147e-300,0.987416902704439,0.969,0.497,3.54174556556165e-297,"Cluster 3","Stxbp6"
"Rab3b",1.86464181790837e-251,0.685792200502796,0.998,0.77,2.42776364691669e-248,"Cluster 3","Rab3b"
"Neto1",8.19830228835224e-242,0.669110645389614,0.988,0.795,1.06741895794346e-238,"Cluster 3","Neto1"
"Dgkg",6.93066390587481e-233,0.610478245229814,0.991,0.853,9.023724405449e-230,"Cluster 3","Dgkg"
"Lama4",7.27975885549879e-229,1.22110551498264,0.899,0.702,9.47824602985942e-226,"Cluster 3","Lama4"
"Pde1a",1.87161318439476e-228,1.21108784622705,0.865,0.487,2.43684036608198e-225,"Cluster 3","Pde1a"
"Ano3",1.16688961439258e-222,1.10122874215094,0.868,0.545,1.51929027793914e-219,"Cluster 3","Ano3"
"Cers6",1.5939837483007e-212,0.569128259232755,0.983,0.835,2.07536684028752e-209,"Cluster 3","Cers6"
"Cdh4",3.02009059141772e-208,0.902756336033695,0.884,0.504,3.93215795002587e-205,"Cluster 3","Cdh4"
"Pitpnc1",3.54439131828469e-196,0.553777244584752,0.999,0.958,4.61479749640667e-193,"Cluster 3","Pitpnc1"
"Runx1t1",1.45096937102696e-190,0.661841564328849,0.975,0.687,1.8891621210771e-187,"Cluster 3","Runx1t1"
"Neto2",5.05112050009607e-188,0.707092844623853,0.933,0.63,6.57655889112509e-185,"Cluster 3","Neto2"
"Cntn3",7.23437557124915e-187,0.582085545041142,0.975,0.855,9.4191569937664e-184,"Cluster 3","Cntn3"
"Ralyl",1.65871936908603e-185,0.81491057879724,0.975,0.887,2.15965261855001e-182,"Cluster 3","Ralyl"
"Cacna2d31",1.91932788788245e-177,0.626061582084516,0.99,0.804,2.49896491002295e-174,"Cluster 3","Cacna2d3"
"Mcc",2.83724146837409e-173,0.662358927603624,0.949,0.742,3.69408839182307e-170,"Cluster 3","Mcc"
"Sema6d",3.18491851252897e-173,0.690912829329108,0.961,0.759,4.14676390331272e-170,"Cluster 3","Sema6d"
"Sox61",3.60225059647859e-172,0.754071186370534,0.958,0.577,4.69013027661512e-169,"Cluster 3","Sox6"
"Tox",3.52509576062549e-170,1.02927318563565,0.769,0.389,4.58967468033438e-167,"Cluster 3","Tox"
"Unc13c",6.90134248963051e-170,1.29566787132564,0.701,0.338,8.98554792149893e-167,"Cluster 3","Unc13c"
"Lrrc7",5.73451356724625e-167,0.421038958197055,0.986,0.958,7.46633666455461e-164,"Cluster 3","Lrrc7"
"Tmeff2",1.28124020458917e-165,0.657820096849326,0.954,0.795,1.6681747463751e-162,"Cluster 3","Tmeff2"
"Kctd81",2.7265221991097e-163,0.753901391151093,0.911,0.539,3.54993190324083e-160,"Cluster 3","Kctd8"
"Rgs6",1.5875806544703e-161,0.742325967449009,0.918,0.706,2.06703001212034e-158,"Cluster 3","Rgs6"
"Pcdh11x",2.81548947095709e-160,0.823584171471708,0.905,0.67,3.66576729118613e-157,"Cluster 3","Pcdh11x"
"Cacna1e",6.22448064925215e-159,0.655353881446238,0.947,0.699,8.1042738053263e-156,"Cluster 3","Cacna1e"
"Cdh13",2.91283401085795e-154,0.70169547416559,0.937,0.849,3.79250988213705e-151,"Cluster 3","Cdh13"
"Calb1",8.26073926856652e-154,1.10986778154033,0.686,0.321,1.07554825276736e-150,"Cluster 3","Calb1"
"Gda",6.72992960963288e-153,0.733023933988475,0.818,0.414,8.76236835174202e-150,"Cluster 3","Gda"
"Grm71",4.55498695385981e-149,0.542974695615236,0.989,0.94,5.93059301392547e-146,"Cluster 3","Grm7"
"Nxph11",3.09030236843039e-145,0.563181107469854,0.996,0.685,4.02357368369637e-142,"Cluster 3","Nxph1"
"Sh3kbp1",9.71582589286565e-141,0.510649232684644,0.972,0.817,1.26500053125111e-137,"Cluster 3","Sh3kbp1"
"Chrm3",1.05726852090877e-139,0.496730304836071,0.973,0.921,1.37656361422322e-136,"Cluster 3","Chrm3"
"Tshz31",1.38278563202736e-138,0.590165124232913,0.92,0.621,1.80038689289963e-135,"Cluster 3","Tshz3"
"Reln",4.09501651024515e-138,0.708658687347912,0.882,0.54,5.33171149633918e-135,"Cluster 3","Reln"
"Cacng3",8.98842589172174e-138,0.527444584319075,0.954,0.757,1.17029305110217e-134,"Cluster 3","Cacng3"
"Spats2l",4.79617563085023e-127,0.563683683399704,0.911,0.644,6.244620671367e-124,"Cluster 3","Spats2l"
"Cpne5",8.78827847219049e-127,0.674345989246292,0.809,0.505,1.1442338570792e-123,"Cluster 3","Cpne5"
"Shisa61",1.37540774189125e-126,0.655353632554139,0.785,0.406,1.7907808799424e-123,"Cluster 3","Shisa6"
