"data","Val0","Val1","Val2","class","cellnames","gmm_cluster"
"Ephys",0.0104450405268078,-0.0227282164691344,-0.0246033388326772,"Lamp5","SM-GE652_S154_E1-50",4
"Ephys",0.00955180160983038,-0.0205795019464945,-0.0193550033369069,"Lamp5","SM-GE652_S164_E1-50",4
"Ephys",0.0116908641475698,-0.025985339316638,-0.0288520099104231,"Lamp5","SM-GE652_S165_E1-50",4
"Ephys",0.0125419215088778,-0.00338963460965287,0.0165644358099139,"Vip","SM-GE652_S183_E1-50",1
"Ephys",0.0128190315333174,-0.0031882335629191,0.0161454471788693,"Vip","SM-GE652_S171_E1-50",1
"Ephys",0.0114365765156677,-0.00412145051330955,0.0111583910474501,"Serpinf1","SM-GE64T_S097_E1-50",5
"Ephys",0.0104887076219481,-0.0226812400761445,-0.024325995385294,"Lamp5","SM-GE64T_S100_E1-50",4
"Ephys",0.0117867313107831,-0.0232154837647112,-0.0237694210665193,"Lamp5","SM-GE64T_S114_E1-50",4
"Ephys",0.00868737889835983,-0.0203174930655359,-0.0214374422565891,"Lamp5","SM-GE64T_S116_E1-50",4
"Ephys",0.00106534108880099,0.0129810671100995,-0.00580604853446373,"Sst","SM-GE64T_S124_E1-50",3
"Ephys",-0.00114020221307478,0.00911510261781226,-0.00662950727383252,"Sst","SM-GE64T_S125_E1-50",3
"Ephys",0.0115812663270558,-0.025641391887774,-0.0281722323449302,"Lamp5","SM-GE64T_S131_E1-50",4
"Ephys",0.00137636093735817,0.00899243750226612,-0.00375592314296254,"Sst","SM-GE64T_S127_E1-50",3
"Ephys",-0.0224758814707795,-0.00978177981849705,0.00698513968712797,"Pvalb","SM-GE64T_S128_E1-50",2
"Ephys",0.00973552358664781,0.00400139328352999,0.0103096131276519,"Sncg","SM-GE64T_S143_E1-50",5
"Ephys",0.000114979563105458,0.00978913923640182,-0.00596280345169159,"Sst","SM-GE64V_S104_E1-50",3
"Ephys",0.00148789724382901,0.0119906738914502,-0.00488980944015433,"Sst","SM-GE64V_S106_E1-50",3
"Ephys",0.00226756751932734,0.0106114692101704,-0.00304429433999457,"Sst","SM-GE64V_S107_E1-50",3
"Ephys",0.00169259377919259,0.0128686522165577,-0.00409825469921384,"Sst","SM-GE64V_S116_E1-50",3
"Ephys",0.000492032537279605,0.00719590178798484,-0.00464817952645527,"Sst","SM-GE64V_S117_E1-50",3
"Ephys",0.00158123729922934,0.0144034161003969,-0.00533526859608472,"Sst","SM-GE64V_S118_E1-50",3
"Ephys",0.00298398739873781,0.015326119131212,-0.00345089515267164,"Sst","SM-GE64L_S003_E1-50",3
"Ephys",0.00297278638269148,0.0149698095339804,-0.00333574153221561,"Sst","SM-GE64V_S120_E1-50",3
"Ephys",0.00106941925550829,0.0132328096186265,-0.00576298914252015,"Sst","SM-GE64V_S110_E1-50",3
"Ephys",0.00614182339437972,0.00503861627758443,0.00547105468346815,"Sst","SM-GE64V_S114_E1-50",5
"Ephys",0.00563079629557107,-0.00163210387503836,-0.00120209286139205,"Sst","SM-GE64V_S115_E1-50",5
"Ephys",0.00101371076038004,0.0112309407742395,-0.00507695005381258,"Sst","SM-GE64L_S008_E1-50",3
"Ephys",0.00199575693459405,0.0128149649311377,-0.00231948815518457,"Sst","SM-GE64L_S010_E1-50",3
"Ephys",0.00178215961352245,0.00890047229529797,-0.00372957407703107,"Sst","SM-GE64L_S011_E1-50",3
"Ephys",0.012473118513884,-0.00394962231521608,0.0148558500818829,"Vip","SM-GE64L_S018_E1-50",1
"Ephys",0.00254628720481356,0.00697195433545113,-0.00261895011951802,"Sst","SM-GE64L_S019_E1-50",3
"Ephys",0.00381147837365928,-0.0192487393414804,-0.0169555579822146,"Lamp5","SM-GE64L_S027_E1-50",4
"Ephys",0.00962356811142158,-0.0197262565360056,-0.0206667657314654,"Lamp5","SM-GE64F_S097_E1-50",4
"Ephys",0.00961390204836293,-0.0154738257746332,-0.0121011382132973,"Lamp5","SM-GE64F_S098_E1-50",4
"Ephys",0.0116130773694609,-0.0230593456330358,-0.022471398003981,"Lamp5","SM-GE64F_S112_E1-50",4
